,scan_id,plan_name,motors,detectors,energy[eV],Tsample[K],sx,fccd_aquire_time,fccd_num_images,fccd_image_type,fccd_ct_time,scan_time[min],sample_type,sample_comp,purpose,notes
202,151175,rel_scan,['sx'],"['dif_beam', 'stemp_temp_B_T']",709.0,339.0,11.64,-,-,-,-,7.6,laser_cryo_exp,razor,sx center 1 T,
203,151176,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,339.0,11.26,-,-,-,-,3.0,laser_cryo_exp,razor,na,
204,151177,rel_scan,['sx'],"['dif_beam', 'stemp_temp_B_T']",709.0,339.0,11.64,-,-,-,-,7.6,laser_cryo_exp,razor,sx center 1 T,
205,151178,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,339.0,11.26,-,-,-,-,3.0,laser_cryo_exp,razor,na,
206,151179,rel_scan,['sx'],"['dif_beam', 'stemp_temp_B_T']",709.0,339.0,11.64,-,-,-,-,7.6,laser_cryo_exp,razor,sx center 1 T,
207,151180,rel_scan,['sx'],['dif_beam'],709.0,331.5,11.76,-,-,-,-,9.7,laser_cryo_exp,razor,intial sx center,
208,151181,rel_scan,['sx'],['dif_beam'],709.0,331.5,11.64,-,-,-,-,7.4,laser_cryo_exp,razor,rough sx center,
209,151182,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,331.5,11.26,-,-,-,-,3.0,laser_cryo_exp,razor,na,
210,151183,rel_scan,['sx'],"['dif_beam', 'stemp_temp_B_T']",709.0,331.5,11.64,-,-,-,-,7.6,laser_cryo_exp,razor,sx center 1 T,
211,151184,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,331.5,11.26,-,-,-,-,3.0,laser_cryo_exp,razor,na,
212,151185,rel_scan,['sx'],"['dif_beam', 'stemp_temp_B_T']",709.0,331.5,11.64,-,-,-,-,7.6,laser_cryo_exp,razor,sx center 1 T,
213,151186,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,331.5,11.26,-,-,-,-,3.0,laser_cryo_exp,razor,na,
214,151187,rel_scan,['sx'],"['dif_beam', 'stemp_temp_B_T']",709.0,331.5,11.64,-,-,-,-,7.6,laser_cryo_exp,razor,sx center 1 T,
215,151188,rel_scan,['sx'],['dif_beam'],709.0,316.5,11.76,-,-,-,-,9.7,laser_cryo_exp,razor,intial sx center,
216,151189,rel_scan,['sx'],['dif_beam'],709.0,316.5,11.58,-,-,-,-,7.4,laser_cryo_exp,razor,rough sx center,
217,151190,count,NA,"['dif_beam', 'stemp_temp_B_T']",709.0,316.5,11.2,-,-,-,-,3.0,laser_cryo_exp,razor,na,
